sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
T3-TR5-004,AN6/570,trench,Shamkya,An6,,,5.0,0.01,4.9,3.15,3.82,9.0,15.6,1.46,True
T3-TR5-005,AN6/571,trench,Shamkya,An6,,,5.0,0.01,1.8,2.57,2.31,5.7,9.7,1.07,True
T3-TR5-006,AN6/572,trench,Shamkya,An6,,,5.0,0.01,2.0,1.59,2.4,5.4,8.6,1.07,True
T3-TR5-007,AN6/573,trench,Shamkya,An6,,,5.0,0.34,2.1,1.15,3.92,3.6,4.4,0.27,True
Blank,AN6/574,trench,Shamkya,An6,,,5.0,0.01,0.1,0.17,0.21,0.25,4.6,0.16,True
T3-TR5-008,AN6/575,trench,Shamkya,An6,,,5.0,0.01,1.5,0.53,2.99,3.5,4.9,0.35,True
T3-TR5-009,AN6/576,trench,Shamkya,An6,,,5.0,0.01,1.2,1.83,1.9,4.2,5.0,0.42,True
T3-TR5-010,AN6/577,trench,Shamkya,An6,,,5.0,0.01,4.0,2.8,4.16,5.5,8.9,0.71,True
T3-TR5-011,AN6/578,trench,Shamkya,An6,,,5.0,0.01,2.1,2.47,2.8,4.7,5.4,0.59,True
T3-TR5-012,AN6/579,trench,Shamkya,An6,,,5.0,0.01,1.8,2.37,2.3,4.8,4.8,0.56,True
T3-TR5-013,AN6/580,trench,Shamkya,An6,,,5.0,0.01,0.6,1.8,0.64,2.7,3.4,0.37,True
T3-TR5-014,AN6/581,trench,Shamkya,An6,,,5.0,0.01,1.3,1.54,1.54,3.6,4.6,0.46,True
T3-TR6-001,AN6/582,trench,Shamkya,An6,,,5.0,0.01,2.3,0.23,2.36,5.1,13.0,0.76,True
T3-TR6-002,AN6/583,trench,Shamkya,An6,,,5.0,0.01,1.9,0.6,1.97,3.8,8.7,0.93,True
T3-TR6-003,AN6/584,trench,Shamkya,An6,,,5.0,0.01,2.3,0.64,2.47,7.4,19.3,0.89,True
T3-TR6-004,AN6/585,trench,Shamkya,An6,,,5.0,0.02,3.0,1.59,3.05,5.7,9.2,0.94,True
Duplicate of(T3-TR7-008),AN6/586,trench,Shamkya,An6,,,5.0,0.69,1.7,0.02,3.18,1.6,3.5,0.15,True
Blank,AN6/587,trench,Shamkya,An6,,,5.0,0.01,0.1,0.14,0.21,0.25,5.4,0.17,True
T3-TR6-005,AN6/588,trench,Shamkya,An6,,,5.0,0.02,3.3,0.6,3.69,5.4,8.0,0.72,True
T3-TR6-006,AN6/589,trench,Shamkya,An6,,,5.0,0.01,1.8,0.27,2.6,3.4,5.3,0.37,True
