sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
Q188,730.0,chip,Shamkya,An6,,,0.001,1.0,1.0,1.0,11.0,7.0,5.0,0.1,True
Q189,731.0,chip,Shamkya,An6,,,0.001,2.0,1.0,1.0,3.0,1.0,2.0,0.1,True
Q190,732.0,chip,Shamkya,An6,,,0.001,1.0,1.0,1.0,29.0,6.0,2.0,0.1,True
Q191,733.0,chip,Shamkya,An6,,,0.001,98.0,5.0,1.0,46.0,122.0,10.0,0.1,True
Q192,734.0,chip,Shamkya,An6,,,0.001,7.0,1.0,1.0,34.0,8.0,3.0,0.1,True
RCH/012,,chip,Shamkya,An7,494835.0,2136937.0,1.42,13.8,0.37,9.42,97.1,98.0,202.0,1.33,False
RCH/013,,chip,Shamkya,An7,494893.0,2138609.0,0.04,0.6,0.1,2.34,2.0,5.0,1.2,0.07,False
RCH/014,,chip,Shamkya,An7,494858.0,2136676.0,1.18,47.6,0.21,1.17,43.1,53.0,15.9,0.32,False
RCH/015,,chip,Shamkya,An7,494796.0,2137475.0,0.01,0.4,0.025,0.02,2.2,1.0,3.6,0.01,True
RCH/016,,chip,Shamkya,An7,494796.0,2137457.0,0.73,121.0,0.36,4.84,116.5,40.0,27.9,0.46,False
RCH/017,,chip,Shamkya,An7,497468.0,2137595.0,0.83,73.6,0.31,17.8,163.5,30.0,25.7,0.75,False
RCH/018,,chip,Shamkya,An7,494746.0,2137645.0,0.005,3.0,0.26,0.41,5.5,28.0,2.4,0.01,True
RCH/019,,chip,Shamkya,An7,494730.0,2137675.0,0.005,0.4,0.06,0.02,3.7,3.0,0.6,0.005,True
RCH/020,,chip,Shamkya,An7,494667.0,2137904.0,0.005,5.4,0.48,0.2,51.7,151.0,7.6,0.05,True
RCH/021,,chip,Shamkya,An7,494656.0,2137956.0,0.005,1.4,0.14,0.12,3.8,30.0,1.3,0.03,True
RCH/022,,chip,Shamkya,An7,494644.0,2137998.0,0.005,3.1,0.12,0.51,9.3,24.0,2.4,0.16,True
