Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
90.0,P1/D/BH3-1/030,S030,50.2,52.2,,<0.01,0.08,0.43,3.2,<0.02,<10,10,0.77,0.07,0.02,0.39,301,0.7,6,0.09,1.9,5.23,5.18,0.27,0.67,0.01,0.211,0.05,167.5,1.2,0.01,671,8.06,0.01,2.22,2.5,80,7.9,2.3,<0.001,<0.01,0.28,0.2,<0.2,2.2,10.5,0.01,0.01,16.2,<0.005,0.03,1.81,1,0.07,9.67,298,29.5
91.0,P1/D/BH3-1/031,S031,52.2,55.2,,<0.01,0.08,0.4,5.7,<0.02,<10,10,0.76,0.11,0.02,0.28,259,1,6,0.12,2.6,4.95,4.84,0.23,0.67,0.01,0.18,0.05,136,1,0.01,470,5.34,<0.01,2.47,2.7,90,9.1,2.5,<0.001,<0.01,0.29,0.2,0.4,2.1,10.8,0.02,0.02,14.3,<0.005,0.03,1.57,1,0.07,10.15,213,28.2
92.0,P1/D/BH3-1/032,S032,55.2,58.2,,<0.01,0.1,0.4,6.8,<0.02,<10,20,0.76,0.08,0.03,0.38,412,0.9,6,0.13,2.9,5,5.28,0.33,0.6,0.01,0.188,0.05,185,0.9,0.01,459,5.04,0.01,1.93,2.1,160,9.9,2.7,<0.001,<0.01,0.33,0.4,<0.2,2.6,14.9,0.01,0.01,16.1,<0.005,0.03,1.64,2,0.08,12.7,216,25.3
93.0,P1/D/BH3-1/033,S033,58.2,61.2,,<0.01,0.12,0.4,4,<0.02,<10,50,0.79,0.06,0.03,0.29,360,1,7,0.06,4.8,3.89,5.05,0.3,0.88,0.01,0.169,0.09,186.5,1,0.01,454,3.94,0.01,2.25,3.4,230,4.4,3.6,<0.001,<0.01,0.21,0.4,<0.2,2.6,18.3,0.01,0.01,18.3,0.006,0.02,2.36,5,0.07,16.65,160,37.6
94.0,P1/D/BH4/001,S001 ,3,4,,<0.01,0.06,0.42,1.6,<0.02,<10,100,1.17,0.16,0.11,0.06,95,19.4,8,0.08,23.7,5.36,1.78,0.16,0.06,<0.01,0.111,0.13,60.2,0.3,0.05,774,1.54,0.04,0.06,24,110,2.8,8.3,<0.001,<0.01,0.09,7.4,0.4,0.9,21.5,<0.01,0.01,15.3,<0.005,0.08,1.82,58,0.17,31.7,65,2.1
95.0,P1/D/BH4/002,S002 ,4,5,,<0.01,0.04,0.37,1.6,<0.02,10,20,0.68,0.06,0.04,0.02,40.5,3,10,0.09,15.6,3.04,1.92,0.08,0.07,<0.01,0.034,0.1,21.9,0.5,0.02,171,0.56,0.02,0.14,10.5,120,4.8,6.3,<0.001,<0.01,0.14,2.4,<0.2,0.5,5,<0.01,<0.01,6.7,<0.005,0.04,2.46,21,0.11,14.15,20,2.2
96.0,P1/D/BH4/003,S003 ,5,6,,<0.01,0.05,0.47,0.5,<0.02,<10,10,0.42,0.17,0.03,0.01,23.6,3.1,7,<0.05,24.4,1.88,1.57,0.08,0.11,<0.01,0.017,0.04,11.6,1.3,0.01,130,0.49,0.02,0.25,7,50,4.2,2,<0.001,<0.01,0.08,2.6,0.2,0.5,6.4,0.02,0.01,17.2,<0.005,<0.02,3.01,16,0.15,8.94,17,1.8
97.0,P1/D/BH4/004,S004 ,6,7,,<0.01,0.16,0.55,1,<0.02,<10,90,1.14,0.08,0.03,0.02,14.65,6,12,0.05,13,3.2,2.64,0.06,0.13,<0.01,0.02,0.03,5,1,0.01,412,0.7,0.02,0.31,14.8,230,5.4,2,<0.001,<0.01,0.21,5.2,<0.2,0.6,7,0.02,0.01,6,0.006,0.03,1.5,36,0.32,10,21,2.3
98.0,P1/D/BH4/005,S005 ,7,8,,<0.01,0.09,0.59,1.8,<0.02,10,40,1.69,0.18,0.06,0.03,33.2,6.6,13,0.08,14.6,4.69,3.35,0.08,0.07,<0.01,0.059,0.1,17.1,0.9,0.02,196,1.28,0.03,0.12,31,320,8.1,5.7,<0.001,<0.01,0.42,6.3,<0.2,1.2,9.2,<0.01,0.01,6.4,0.01,0.03,1.54,54,0.7,16.8,53,2.3
99.0,P1/D/BH4/006,S006 ,8,9,,<0.01,0.06,0.57,1.6,<0.02,<10,20,0.85,0.13,0.07,0.03,48.8,3.2,10,0.1,14.5,3.02,2.45,0.1,0.04,<0.01,0.039,0.09,22.9,0.8,0.01,169,0.97,0.01,0.08,8.8,340,7.3,5.8,<0.001,<0.01,0.31,5.7,<0.2,0.8,7.4,<0.01,<0.01,10.5,0.005,0.03,1.68,22,0.21,15,39,1.6
100.0,P1/D/BH4/007,S007 ,9,10,,<0.01,0.08,0.7,6,<0.02,<10,40,1.54,0.28,0.04,0.09,32.1,6,17,0.08,34.3,7.42,4.21,0.09,0.07,<0.01,0.147,0.06,12.6,0.8,0.02,221,1.08,0.01,<0.05,19.6,650,12.8,3.8,<0.001,<0.01,0.31,20,<0.2,0.8,6.9,<0.01,0.01,3.9,0.017,0.03,1.79,142,0.28,13.1,88,2.9
101.0,P1/D/BH4/008,S008 ,10,11,,<0.01,0.11,0.7,9.7,<0.02,<10,20,0.67,0.28,0.02,0.03,55.5,3.1,13,0.05,26.7,3.59,3.06,0.11,0.09,<0.01,0.083,0.04,24.1,0.7,0.01,224,0.54,0.01,<0.05,7.3,300,9.9,2.5,<0.001,<0.01,0.71,13.1,<0.2,1.3,6,<0.01,0.01,7.3,0.017,0.02,1.16,119,0.12,17.7,29,1.9
102.0,P1/D/BH4/009,S009 ,11,12,,<0.01,0.07,0.76,6.9,<0.02,<10,30,2.32,0.11,0.03,0.07,47.8,8.4,14,0.09,29.4,9.38,4.39,0.12,0.07,<0.01,0.079,0.06,21.8,0.6,0.02,206,1.02,0.01,<0.05,21.1,640,7.6,3.7,<0.001,<0.01,0.48,17.4,<0.2,1.1,4.5,<0.01,<0.01,6.4,0.014,0.02,1.94,105,0.14,16,97,1.7
103.0,P1/D/BH4/010,S010 ,12,13,,<0.01,0.07,0.64,0.7,<0.02,<10,90,0.42,0.05,0.11,0.04,72.1,3,8,0.14,22.1,1.27,2.45,0.1,0.05,<0.01,0.032,0.11,35.4,0.6,0.02,443,0.33,0.02,<0.05,4.1,440,6.5,6.7,<0.001,<0.01,0.1,5.1,<0.2,0.5,8.4,<0.01,0.01,12.8,<0.005,0.05,1.28,19,0.05,18.95,14,1.5
104.0,P1/D/BH4/011,S011 ,13,14,,<0.01,0.29,0.63,5.5,<0.02,<10,40,0.57,0.04,0.14,0.06,75.5,7.1,8,0.1,44.8,3.2,2.15,0.11,0.06,<0.01,0.052,0.1,36.6,0.6,0.02,341,1.14,0.01,<0.05,8.4,600,140,6,<0.001,<0.01,0.11,6.5,<0.2,0.6,5.1,<0.01,<0.01,13.5,<0.005,0.04,1.6,31,0.07,15.1,30,1.6
105.0,P1/D/BH4/012,S012 ,14,15,,<0.01,0.27,0.69,1.9,<0.02,<10,30,0.48,0.06,0.13,0.07,78.8,6.3,7,0.09,24.9,3.6,2.22,0.11,0.07,<0.01,0.041,0.11,38.6,0.7,0.02,231,1.23,0.01,<0.05,7.4,500,167,6.2,<0.001,<0.01,0.07,6,<0.2,0.5,4.8,<0.01,<0.01,14.3,<0.005,0.03,1.81,20,0.05,14.7,44,2.4
106.0,P1/D/BH4/013,S013 ,15,16,,0.01,0.33,0.61,6.3,<0.02,<10,260,0.58,0.13,0.11,0.13,52.9,10.8,13,0.09,95.9,2.87,2.21,0.1,0.04,<0.01,0.077,0.09,25,0.8,0.02,1080,1.11,0.01,<0.05,12.9,480,13.5,4.7,<0.001,<0.01,0.17,8.6,0.2,4.3,11.6,<0.01,<0.01,8.9,0.007,0.08,1.26,53,0.09,14.85,46,1.4
107.0,P1/D/BH4/014,S014 ,16,17,,0.01,0.41,0.62,0.6,<0.02,<10,100,0.6,0.44,0.1,0.18,55.6,4.4,9,0.18,83.6,1.99,2.36,0.1,0.07,<0.01,0.087,0.16,26.6,0.8,0.02,363,0.52,0.01,<0.05,6.7,390,37.1,7.3,<0.001,<0.01,0.12,7.4,<0.2,5.1,10.8,<0.01,0.01,8.2,0.014,0.06,0.92,52,0.09,14.8,44,3.2
