ag_ppm,anomaly_id,as_ppm,au_ppm,below_detection,bi_ppm,cu_ppm,easting,interval_m,lab_id,northing,pb_ppm,project_area,sample_id,sample_type,sb_ppm,zn_ppm,,,,,
,An6,,,FALSE,,,,,640,,,Shamkya,Q098,chip,,,,,,,
,An6,,,FALSE,,,,,641,,,Shamkya,Q099,chip,,,,,,,
,An6,,,FALSE,,,,,642,,,Shamkya,Q100,chip,,,,,,,
,An6,,,FALSE,,,,,643,,,Shamkya,Q101,chip,,,,,,,
,An6,,,FALSE,,,,,644,,,Shamkya,Q102,chip,,,,,,,
,An6,,,FALSE,,,,,645,,,Shamkya,Q103,chip,,,,,,,
,An6,,,FALSE,,,,,646,,,Shamkya,Q104,chip,,,,,,,
,An6,,,FALSE,,,,,647,,,Shamkya,Q105,chip,,,,,,,
,An6,,,FALSE,,,,,648,,,Shamkya,Q106,chip,,,,,,,
,An6,,,FALSE,,,,,649,,,Shamkya,Q107,chip,,,,,,,
,An6,,,FALSE,,,,,650,,,Shamkya,Q108,chip,,,,,,,
,An6,,,FALSE,,,,,651,,,Shamkya,Q109,chip,,,,,,,
,An6,,,FALSE,,,,,652,,,Shamkya,Q110,chip,,,,,,,
,An6,,,FALSE,,,,,653,,,Shamkya,Q111,chip,,,,,,,
,An6,,,FALSE,,,,,654,,,Shamkya,Q112,chip,,,,,,,
,An6,,,FALSE,,,,,655,,,Shamkya,Q113,chip,,,,,,,
,An6,,,FALSE,,,,,656,,,Shamkya,Q114,chip,,,,,,,
,An6,,,FALSE,,,,,657,,,Shamkya,Q115,chip,,,,,,,
,An6,,,FALSE,,,,,658,,,Shamkya,Q116,chip,,,,,,,
,An6,,,FALSE,,,,,659,,,Shamkya,Q117,chip,,,,,,,
,An6,,,FALSE,,,,,660,,,Shamkya,Q118,chip,,,,,,,
,An6,,,FALSE,,,,,661,,,Shamkya,Q119,chip,,,,,,,
,An6,,,FALSE,,,,,662,,,Shamkya,Q120,chip,,,,,,,
,An6,,,FALSE,,,,,663,,,Shamkya,Q121,chip,,,,,,,
,An6,,,FALSE,,,,,664,,,Shamkya,Q122,chip,,,,,,,
,An6,,,FALSE,,,,,665,,,Shamkya,Q123,chip,,,,,,,
,An6,,,FALSE,,,,,666,,,Shamkya,Q124,chip,,,,,,,
,An6,,,FALSE,,,,,667,,,Shamkya,Q125,chip,,,,,,,
,An6,,,FALSE,,,,,668,,,Shamkya,Q126,chip,,,,,,,
,An6,,,FALSE,,,,,669,,,Shamkya,Q127,chip,,,,,,,
,An6,,,FALSE,,,,,670,,,Shamkya,Q128,chip,,,,,,,
,An6,,,FALSE,,,,,671,,,Shamkya,Q129,chip,,,,,,,
,An6,,,FALSE,,,,,672,,,Shamkya,Q130,chip,,,,,,,
,An6,,,FALSE,,,,,673,,,Shamkya,Q131,chip,,,,,,,
,An6,,,FALSE,,,,,674,,,Shamkya,Q132,chip,,,,,,,
,An6,,,FALSE,,,,,675,,,Shamkya,Q133,chip,,,,,,,
,An6,,,FALSE,,,,,676,,,Shamkya,Q134,chip,,,,,,,
,An6,,,FALSE,,,,,677,,,Shamkya,Q135,chip,,,,,,,
,An6,,,FALSE,,,,,678,,,Shamkya,Q136,chip,,,,,,,
,An6,,,FALSE,,,,,679,,,Shamkya,Q137,chip,,,,,,,
,An6,,,FALSE,,,,,680,,,Shamkya,Q138,chip,,,,,,,
,An6,,,FALSE,,,,,681,,,Shamkya,Q139,chip,,,,,,,
,An6,,,FALSE,,,,,682,,,Shamkya,Q140,chip,,,,,,,
,An6,,,FALSE,,,,,683,,,Shamkya,Q141,chip,,,,,,,
,An6,,,FALSE,,,,,684,,,Shamkya,Q142,chip,,,,,,,
,An6,,,FALSE,,,,,685,,,Shamkya,Q143,chip,,,,,,,
,An6,,,FALSE,,,,,686,,,Shamkya,Q144,chip,,,,,,,
,An6,,,FALSE,,,,,687,,,Shamkya,Q145,chip,,,,,,,
,An6,,,FALSE,,,,,688,,,Shamkya,Q146,chip,,,,,,,
,An6,,,FALSE,,,,,689,,,Shamkya,Q147,chip,,,,,,,
,An6,,,FALSE,,,,,690,,,Shamkya,Q148,chip,,,,,,,
